example_id,customer_tweet_id,customer_text,intent,confidence,is_ambiguous,ambiguity_reason,language,expected_action,should_escalate,escalation_reason,annotator,sampling_bucket,sampling_score
G001,1000118,@AmazonHelp It's all good now 😊 I chatted in &amp; it turns out the tracking shows it was never delivered. Your rep = v helpful &amp; replacement is on its way,,,,,english_or_unknown,,,,,common_normal,9.0
G002,1000127,@43895 watching Loveless on Amazon prime cuz of your VIFF review &amp; the subtitles are weird &amp; some of it is censored? @116618 ???,,,,,english_or_unknown,,,,,common_normal,9.0
G003,1000138,"@AmazonHelp I already connected. Did live chat, you are ready for refund. people need to know the actual fact of @115850",,,,,english_or_unknown,,,,,common_normal,9.0
G004,1000164,"This is after @AmazonHelp package was supposedly out for delivery this morning, then resent this afternoon. What am I paying for Prime for?!",,,,,english_or_unknown,,,,,other_unclear_candidate,11.0
G005,1000194,"@AmazonHelp I was suppose to receive the order on Friday(Oct 20), but saw that it got delayed from Oct 20-24.",,,,,english_or_unknown,,,,,common_normal,9.0
G006,1000195,Looks like it’s time to invest in Best Buy’s Gamers Club. @115821 messed up my preorder for a game I was really excited about this year,,,,,english_or_unknown,,,,,other_unclear_candidate,11.0
G007,1000980,"@AmazonHelp @356980 Hii amazon, i got a call from ur side n unfortunately missed it.. can u plss call back n let me know what was it call about...",,,,,english_or_unknown,,,,,other_unclear_candidate,11.0
G008,1000985,"dear sir, order id:404-4313025-2413959 in India not solved refund issue since four months by amazon India,please......@48241,@30724",,,,,english_or_unknown,,,,,common_normal,9.0
G009,1001005,@AmazonHelp I preordered amazon echo but want to go for amazon plus now. Anyway to reach out to seller? I want another invitation.,,,,,english_or_unknown,,,,,common_normal,9.0
G010,1001009,"@AmazonHelp Difference between 'best possible prices' and charging higher than MRP. And yes, that was quite a comment, which you shouldn't take lightly.",,,,,english_or_unknown,,,,,other_unclear_candidate,11.0
G011,1001010,So @115850 prime lists/sells at higher than MRP. Caught. Now bribing me wth Rs.100 voucher. Save that for lawyer fees I'd say. @AmazonHelp,,,,,english_or_unknown,,,,,other_unclear_candidate,11.0
G012,1001029,"@AmazonHelp I bought a TV and this is how Hermes left it! The card had a 'no safe place' option, but this was ignored 😠. https://t.co/vOMn76pxx5",,,,,english_or_unknown,,,,,common_normal,9.0
G013,1001034,Desperate to go out but waiting in for a delivery from @115830 as I can’t track my order &amp; time my outing accordingly. Poor.,,,,,english_or_unknown,,,,,common_normal,9.0
G014,1001037,Amazon shipping sucks! 3 of my last 4 orders have been late by multiple days or just been lost completely. @115821 @118706,,,,,english_or_unknown,,,,,common_normal,9.0
G015,1001043,"dear sir, order id:404-4313025-2413959 in India not solved refund issue since four months by amazon India,please......@115851",,,,,english_or_unknown,,,,,common_normal,9.0
G016,1001046,"@AmazonHelp I purchased Amazon pipa offer pack 1.25 litre after sending message received tracking ID not received Amazon gift card 
Tracking ID- 8ABOLOENA4730 PLEASE HELP",,,,,english_or_unknown,,,,,multi_intent,15.0
G017,1001056,"@AmazonHelp U r gvng rplcmnt n tkng my phn Mon n replacement device will b given 2 me by 29Nov ! Dis is d sheer example of bad cust service, luk into it https://t.co/vfV1MkyVqX",,,,,english_or_unknown,,,,,common_normal,9.0
G018,1001058,"@AmazonHelp I dnt hv spare phn, so please refund my money i made a mistake buying phn from Amazon, i.will mk sure not to repeate that mistake in future",,,,,english_or_unknown,,,,,common_normal,9.0
G019,1001064,Hola @116928. ¿Cómo hablo con un responsable o encargado de un pedido de Prime? Por telefono es la tercera vez que cuelgan...,,,,,spanish,,,,,multilingual,11.0
G020,1001070,"Hallo @116316, kurze Frage: die von mir als „Prime“ erworbene Lieferung „Next business day“ gibt es jetzt gar nicht mehr?",,,,,german,,,,,multilingual,11.0
G021,1001082,Help @AmazonHelp ! I tried to sign up for a Prime trial but I think it's automatically charged for the year!!,,,,,english_or_unknown,,,,,common_normal,9.0
G022,1001090,@AmazonHelp Not received any email. Pls stop harping about it! And enough of this harassment. If your courier guy calls once more you will get reported,,,,,english_or_unknown,,,,,common_normal,9.0
G023,1001096,@115850 I purchased mobile BBkey one vide invoice noBOM4-2936 dtd 4 th Oct17.Its back soft key not working since 21 st Oct.Pls replace it.,,,,,english_or_unknown,,,,,common_normal,9.0
G024,1001965,"@117093 Other than sharing my login credentials, is there a way to collaborate on an order with other members of the household?",,,,,english_or_unknown,,,,,common_normal,9.0
G025,1001975,@AmazonHelp The tracking shows the courier could not find my address. Which is absolute rubbish. This has never happened before.,,,,,english_or_unknown,,,,,common_normal,9.0
G026,1001976,@115830 why do I pay for amazon prime when the last 2 items I’ve ordered haven’t been delivered on the specified date????,,,,,english_or_unknown,,,,,common_normal,9.0
G027,1001979,@AmazonHelp Just the regular website. I kind of expect Kindle Unlimited to appear in the dropdown filter.,,,,,english_or_unknown,,,,,common_normal,9.0
G028,1001980,"@AmazonHelp Is there a way to search just Kindle Unlimited books? I can't seem to find a filter other than Kindle, then hunting.",,,,,english_or_unknown,,,,,common_normal,9.0
G029,1002197,@115821 where is my package? Last time you deliver to my neighbors and this time it's no where. :'(,,,,,english_or_unknown,,,,,common_normal,9.0
G030,1002501,You know what's really annoying? Ordering something from @115821 with Amazon Prime and not getting it when you're suppose to,,,,,english_or_unknown,,,,,common_normal,9.0
G031,1002554,@115850 3 calls hv been made to customer care within last 3 days and all 3 days i am being assured of receiving the cashback on same day but....,,,,,english_or_unknown,,,,,common_normal,9.0
G032,1002569,"@AmazonHelp Sent DM of the agents number, call him and check where the package is.. else refund my extra amount!",,,,,english_or_unknown,,,,,common_normal,9.0
G033,1002576,Paid @115850 for a 2-day delivery &amp; agent says he’s coming for delivery (at diff times entire day). Don’t charge xtra if you cant deliver!,,,,,english_or_unknown,,,,,common_normal,9.0
G034,1002616,"@AmazonHelp I did visit Contact Us, but der is no such tab which can resolve the issue. Only Order details
Return Order details. No address for collecti",,,,,english_or_unknown,,,,,common_normal,9.0
G035,1002617,"@AmazonHelp @115850  there is no CANCEL ORDER tab in my app. How can i return the item for the refund, when I have not at all received it?",,,,,english_or_unknown,,,,,common_normal,9.0
G036,1002622,"@115850 
My tracking #511355783673 
Delivery man didn't handover the package to me. From where to collect?
Where and how to contact you",,,,,english_or_unknown,,,,,common_normal,9.0
G037,1002637,"Protection Level : Ultimate
@115850 air cushions should not deflate while in transit. Kinda negates the purpose. 😛 https://t.co/tghimv1MTc",,,,,english_or_unknown,,,,,common_normal,9.0
G038,1002660,"@119625 guys the app stops recognizing the SD card once you format it as an internal memory. Gives ""disk full"" error. Please fix it.",,,,,english_or_unknown,,,,,common_normal,9.0
G039,1002662,"@119625 Sorry. Did that, still not helping. My SD card is formatted as an internal memory is that why it doesn't download directly to my Sd card?",,,,,english_or_unknown,,,,,common_normal,9.0
G040,1002878,"@AmazonHelp Prime item ordered thurs “attempted delivery” fri but they didn’t as I was there 7am - 6pm, promised delivery yesterday and never happened",,,,,english_or_unknown,,,,,common_normal,9.0
G041,1002882,@AmazonHelp I’m not paying again for product Ive already paid for on next day delivery. If you can’t deliver the First I don’t trust you to deliver no 2,,,,,english_or_unknown,,,,,common_normal,9.0
G042,1002898,"@AmazonHelp Able to place order, but then a few hours later I'm advised to 'Update My Payment Method'. My card is valid and has funds on it! Why?",,,,,english_or_unknown,,,,,multi_intent,15.0
G043,1002913,"@AmazonHelp I have issues with subtitles out of sync on Prime Video, on browser and Android app, with almost all the videos. How to solve?",,,,,english_or_unknown,,,,,common_normal,9.0
G044,1002921,"@AmazonHelp It was because I bought a UK Kindle book. It reset everything I had linked to my Echos, absolutely EVERYTHING. Sorted it now.",,,,,english_or_unknown,,,,,common_normal,9.0
G045,1002922,What an absolute farce. Alexa 'forgot' ALL my Smarthome links so I've had to redo them. Alexa wasn't even showing as Online. 🤔 @AmazonHelp,,,,,english_or_unknown,,,,,common_normal,9.0
